Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
MEC.MACKSBURG,Gennode,MCC,-0.11,-1.81,-1.84,-7.71,-11.42,-54.5,-54.45,-95.66,-26.88,-42.7,-31.31,-30.18,-9.14,-16.3,-21.25,-28.79,-24.01,-52.63,-48.3,-74.18,-59.16,-50.01,-65.49,-56.93
MEC.MEAN.LD,Loadzone,MCC,-0.08,-1.24,-1.23,-5.25,-0.72,-2.99,-33.78,-89.49,-25.99,-40,-31.47,-29.97,-14.85,-18.68,-20.13,-23.78,-26.26,-41.61,-46.97,-81.65,-59.06,-50.62,-60,-50.1
MEC.MEAN_1.AZ,Hub,MCC,-0.14,-2.38,-2.42,-10.11,-14.34,-57.55,-53.53,-111.68,-27.9,-42.94,-34.39,-38.86,-24.55,-24.24,-20.44,-25.56,-24.58,-50.73,-53.64,-89.95,-66.58,-56.28,-68.96,-55.46
MEC.MEAN_10.AZ,Hub,MCC,0,0,0,0,15.26,63.24,-10.03,-64.46,-24.7,-34.75,-28.1,-25.84,-15.61,-17.14,-18.04,-21.38,-29.19,-30.57,-39.64,-71.81,-49.75,-43.52,-48.5,-42.84
MEC.MEAN_2.AZ,Hub,MCC,0,0,0,0,2.15,10.75,2.01,-12.83,-0.76,0.6,-2.35,-0.69,-0.22,0,0,-1.66,-17.55,-6.12,-33.22,-49.09,-21.77,-18.14,-25.56,-22.53
MEC.MEAN_3.AZ,Hub,MCC,-0.1,-1.59,-1.61,-6.76,-10.22,-48.01,-46.85,-99.79,-24.45,-44.22,-34.27,-31.26,-8.51,-15.15,-21.75,-24.67,-23.12,-45.74,-48.81,-88.13,-64.69,-55.04,-66.15,-54.59
MEC.MEAN_4.AZ,Hub,MCC,0,0,0,0,14.98,62.08,-8.89,-59.21,-23.94,-34.01,-27.64,-25.37,-15,-16.66,-17.86,-20.8,-28.67,-29.58,-39.1,-70.97,-48.88,-42.71,-47.87,-42.42
MEC.MEAN_5.AZ,Hub,MCC,-0.18,-2.89,-2.93,-12.25,-14.49,-49.72,-54.32,-122.66,-29.48,-42.79,-37.66,-43.54,-44.28,-47.48,-30.48,-24.79,-25.68,-52.21,-57.14,-91.81,-67,-56.44,-69.53,-54.4
MEC.MEAN_6.AZ,Hub,MCC,-0.1,-1.63,-1.65,-6.91,-10.4,-49.21,-48.42,-98.47,-24.9,-44.18,-33.85,-31.25,-8.56,-15.42,-21.91,-25.61,-23.26,-47.26,-48.58,-84.74,-63.3,-53.81,-65.97,-55.13
MEC.MEAN_7.AZ,Hub,MCC,-0.19,-3.09,-2.94,-12.88,-17.04,-61.73,-57.77,-123.42,-30.44,-44.09,-33.2,-32.14,-13.32,-17.63,-17.76,-26.1,-25.1,-55.09,-58.95,-96.67,-71.47,-60.3,-74.17,-57.15
MEC.MEAN_8.AZ,Hub,MCC,-0.18,-2.89,-2.93,-12.28,-14.7,-50.82,-54.54,-122.04,-29.51,-42.6,-35.56,-41.75,-39.58,-42.94,-28.56,-24.89,-25.62,-52.43,-57.33,-92.02,-67.25,-56.65,-69.9,-54.6
MEC.MECB,Loadzone,MCC,-0.09,-1.5,-1.5,-6.33,-5.13,-27.86,-38.63,-89.43,-22.56,-36.08,-28.36,-25.86,-8.85,-13.7,-17.14,-22,-24.31,-40.97,-48.73,-84.44,-59.59,-50.65,-60.5,-49.58
MEC.MOLCT_14,Gennode,MCC,0,0,0,0,2.15,10.75,2.01,-12.41,-0.73,-0.18,-2.09,-0.67,0,0,0,-1.62,-18.03,-6.16,-33.95,-49.4,-21.77,-17.99,-25.44,-22.52
MEC.MORNLIGHT,Gennode,MCC,-0.12,-1.91,-1.94,-8.13,-12.31,-56.35,-53.66,-119.56,-27.83,-45.61,-35.17,-31.43,-9.5,-16.12,-20.7,-27.43,-23.87,-51.53,-53.89,-102.25,-75.99,-64.61,-75.24,-59.82
MEC.MRES.PELLA,Gennode,MCC,0,0,0,0,0,-16.64,-27.95,-62.06,-17.5,-44.44,-33.76,-29.86,-5.09,-12.45,-24.61,-20.02,-20.92,-36.23,-42.2,-69.97,-49.4,-41.79,-49.39,-46.35
MEC.MRES_1.AZ,Hub,MCC,-0.13,-2.06,-2.09,-8.75,-12.62,-56.6,-55.54,-119.49,-28.68,-45.32,-33.78,-28.11,-5.29,-14.5,-20.39,-28.39,-24.13,-53.73,-54.73,-99.36,-74.97,-63.63,-75.75,-60.46
MEC.NEALN_3,Gennode,MCC,-0.19,-3.08,-2.9,-12.8,-17.39,-63.87,-58.21,-124.06,-30.51,-44.27,-33.32,-32.18,-13.29,-17.63,-17.78,-26.21,-25.12,-54.55,-57.25,-97.21,-71.86,-60.68,-73.29,-57.19
MEC.NEALS_4,Gennode,MCC,-0.19,-3.08,-2.9,-12.8,-17.39,-63.87,-58.21,-124.06,-30.51,-44.27,-33.32,-32.18,-13.29,-17.63,-17.78,-26.21,-25.12,-54.55,-57.25,-97.21,-71.86,-60.68,-73.29,-57.19
MEC.NORTHENG,Gennode,MCC,0,0,0,0,0,-14.87,-24.83,-56.35,-15.71,-41.48,-33.76,-29.9,-4.53,-11.82,-24.87,-18.07,-20.53,-28.48,-31.83,-66.42,-45.43,-39.04,-45.56,-43.68
MEC.NWHAR_IBR,Gennode,MCC,-0.16,-2.62,-2.66,-11.13,-15.48,-59.91,-55.22,-116.06,-28.88,-43.5,-37.25,-51.79,-42,-30.11,-18.58,-25.88,-24.77,-52.37,-55.44,-92.79,-68.71,-58.05,-71,-56.27
MEC.OAKGRM.MVP,Hub,MCC,0,0,0,0,1.96,9.83,1.83,-11.55,-0.68,-0.63,-1.95,-0.62,0,0,0,-1.61,-18.05,-6.18,-33.87,-48.82,-21.19,-17.71,-25.48,-22.47
MEC.OBRIEN,Gennode,MCC,-0.22,-3.67,-3.24,-14.97,-19.94,-65.82,-57.42,-120.96,-34.15,-47.23,-36.01,-36.8,-19.95,-22.24,-20.09,-27.54,-30.48,-49.18,-42.6,-87.31,-64.83,-56.38,-58.98,-51.6
MEC.OBRIEN.MVP,Hub,MCC,-0.22,-3.67,-3.24,-14.97,-19.94,-65.82,-57.42,-120.96,-34.15,-47.23,-36.01,-36.8,-19.95,-22.24,-20.09,-27.54,-30.48,-49.18,-42.6,-87.31,-64.83,-56.38,-58.98,-51.6
MEC.ORIENT1,Gennode,MCC,-0.11,-1.84,-1.87,-7.81,-11.75,-55.51,-54.26,-127.9,-28.47,-46.97,-36.48,-31.75,-9.19,-16.18,-20.97,-28.38,-23.85,-52.5,-55.21,-112.15,-83.05,-70.75,-79.83,-62.55
MEC.OTTUMWA1,Gennode,MCC,0,0,0,0,0,-15.29,-24.5,-45.73,-14.87,-49.55,-37.03,-33.58,-3.79,-12.42,-28.85,-18.14,-18.98,-27.81,-28.95,-57.33,-40.09,-34.89,-43.36,-43.23
MEC.PALOALTO1,Gennode,MCC,-0.2,-3.35,-3.03,-13.77,-20.69,-73.25,-57.83,-120.62,-33.27,-46.36,-35.49,-36.04,-19.6,-21.84,-20.08,-27.18,-30.83,-48.11,-43.04,-85.82,-63.32,-55.11,-57.88,-50.65
MEC.PELLA,Loadzone,MCC,0,0,0,0,0,-16.57,-27.82,-61.57,-17.39,-44.49,-33.81,-29.92,-5.05,-12.43,-24.69,-19.93,-20.88,-36.07,-42.07,-69.59,-48.73,-41.41,-47.92,-45.98
MEC.PHEC_1,Gennode,MCC,-0.1,-1.62,-1.64,-6.87,-10.42,-48.62,-47.11,-101.46,-24.65,-44.03,-34.17,-31.09,-8.63,-15.15,-21.42,-24.64,-23.19,-45.84,-49.22,-89.71,-65.68,-55.87,-66.7,-54.77
MEC.PHEC_2,Gennode,MCC,-0.1,-1.62,-1.64,-6.87,-10.42,-48.62,-47.11,-101.46,-24.65,-44.03,-34.17,-31.09,-8.63,-15.15,-21.42,-24.64,-23.19,-45.84,-49.22,-89.71,-65.68,-55.87,-66.7,-54.77
MEC.PHEC_3,Gennode,MCC,-0.1,-1.62,-1.64,-6.87,-10.42,-48.62,-47.11,-101.46,-24.65,-44.03,-34.17,-31.09,-8.63,-15.15,-21.42,-24.64,-23.19,-45.84,-49.22,-89.71,-65.68,-55.87,-66.7,-54.77
MEC.PLYMOUTH1,Gennode,MCC,-0.21,-3.38,-3.08,-13.93,-18.72,-64.89,-57.8,-122.73,-33.78,-47.49,-36.4,-36.26,-18.44,-21.71,-20.66,-28.56,-29.57,-53.8,-51.9,-92.21,-67.22,-56.71,-66.08,-53.99
MEC.PMEU_1.AZ,Hub,MCC,0,0,0,0,0,-16.55,-27.78,-61.45,-17.36,-44.5,-33.81,-29.93,-5.04,-12.42,-24.71,-19.91,-20.87,-36.02,-42.04,-69.5,-48.57,-41.32,-47.6,-45.89
MEC.POCHNT_1,Gennode,MCC,-0.14,-2.32,-2.14,-9.58,-32.69,-148.65,-68.47,-112.62,-51.59,-77.77,-67.54,-76.1,-55.63,-62.33,-57.72,-61.46,-70.48,-82.8,-87.76,-106.3,-84.05,-76.1,-74.25,-64.82
MEC.PPWIND,Gennode,MCC,-0.14,-2.32,-2.14,-9.58,-32.69,-148.65,-68.47,-112.62,-51.59,-77.77,-67.54,-76.1,-55.63,-62.33,-57.72,-61.46,-70.48,-82.8,-87.76,-106.3,-84.05,-76.1,-74.25,-64.82
MEC.PRAIRIE,Gennode,MCC,0,0,0,0,0,-15.8,-26.44,-57.45,-16.45,-43.73,-33.44,-29.73,-4.73,-12.08,-24.69,-19.06,-20.62,-29.85,-31.53,-65.5,-45.69,-39.37,-46.08,-44.64
MEC.RHILLS14,Gennode,MCC,-0.1,-1.68,-1.71,-7.16,-11.06,-51.12,-48.32,-104.89,-25.2,-44.11,-34.27,-31.09,-8.88,-15.3,-21.14,-24.95,-23.36,-46.58,-49.98,-92.19,-67.51,-57.41,-67.97,-55.45
MEC.RHILLS58,Gennode,MCC,-0.1,-1.68,-1.71,-7.16,-11.06,-51.12,-48.32,-104.89,-25.2,-44.11,-34.27,-31.09,-8.88,-15.3,-21.14,-24.95,-23.36,-46.58,-49.98,-92.19,-67.51,-57.41,-67.97,-55.45
MEC.RIVSID_5,Gennode,MCC,0,0,0,0,2.19,10.98,2.05,-12.41,-0.73,-0.34,-2.09,-0.67,0,0,0,-1.61,-18.17,-6.17,-34.19,-49.58,-21.86,-17.98,-25.39,-22.52
MEC.RLGY01,Loadzone,MCC,0,0,0,0,2.25,11.27,2.11,-12.41,-0.73,-0.37,-2.11,-0.68,0,0,0,-1.59,-18.66,-6.76,-34.47,-49.87,-22.6,-18.73,-25.41,-22.59
MEC.ROLLHILL_1,Gennode,MCC,-0.12,-1.91,-1.94,-8.11,-12.01,-56.2,-55.38,-129.21,-29,-46.98,-36.32,-31.71,-9.4,-16.38,-20.8,-28.85,-23.97,-53.65,-55.93,-111.85,-83.26,-70.89,-80.56,-63.02
MEC.ROLLHILL_2,Gennode,MCC,-0.12,-1.91,-1.94,-8.11,-12.01,-56.2,-55.38,-129.21,-29,-46.98,-36.32,-31.71,-9.4,-16.38,-20.8,-28.85,-23.97,-53.65,-55.93,-111.85,-83.26,-70.89,-80.56,-63.02
MEC.ROLLHILL_3,Gennode,MCC,-0.12,-1.91,-1.94,-8.11,-12.01,-56.2,-55.38,-129.21,-29,-46.98,-36.32,-31.71,-9.4,-16.38,-20.8,-28.85,-23.97,-53.65,-55.93,-111.85,-83.26,-70.89,-80.56,-63.02
MEC.RRHP_U1,Gennode,MCC,0,0,0,0,0,-16.64,-27.95,-62.06,-17.5,-44.44,-33.76,-29.86,-5.09,-12.45,-24.61,-20.02,-20.92,-36.23,-42.2,-69.97,-49.4,-41.79,-49.39,-46.35
MEC.RRHP_U2,Gennode,MCC,0,0,0,0,0,-16.64,-27.95,-62.06,-17.5,-44.44,-33.76,-29.86,-5.09,-12.45,-24.61,-20.02,-20.92,-36.23,-42.2,-69.97,-49.4,-41.79,-49.39,-46.35
MEC.SER.COMP,Gennode,MCC,-0.19,-3.14,-3.19,-13.36,-17.21,-60.76,-57.56,-123.32,-30.58,-43.99,-33.07,-32.18,-13.57,-17.78,-17.68,-25.94,-25.26,-55.49,-60.24,-96.05,-70.94,-59.8,-74.47,-56.91
MEC.SHENDO_1,Gennode,MCC,-0.12,-1.9,-1.93,-8.07,-11.46,-58.57,-62.6,-94.27,-29.64,-42.12,-28.99,-29.16,-9.22,-17.43,-21.28,-33.95,-24.74,-60.52,-48.09,-63.71,-56.72,-47.69,-67.27,-61.12
MEC.SOTHRNHL1,Gennode,MCC,-0.11,-1.84,-1.87,-7.8,-11.76,-55.48,-54.17,-127.54,-28.42,-46.92,-36.44,-31.74,-9.18,-16.17,-20.97,-28.33,-23.85,-52.4,-55.13,-111.83,-82.79,-70.53,-79.64,-62.43
MEC.STORMLK_1,Gennode,MCC,-0.18,-2.9,-2.94,-12.31,-14.55,-49.87,-54.41,-123.19,-29.53,-43.43,-36.61,-40.38,-36.34,-39.68,-27.01,-24.8,-25.7,-52.29,-57.24,-91.91,-67.07,-56.5,-69.61,-54.42
MEC.SYCAMO_1,Gennode,MCC,-0.1,-1.71,-1.73,-7.25,-11.35,-52.13,-48.51,-105.5,-25.26,-44.02,-34.22,-31.05,-8.99,-15.31,-21,-24.86,-23.42,-46.51,-50.06,-92.62,-67.7,-57.56,-67.96,-55.37
MEC.SYCAMO_2,Gennode,MCC,-0.1,-1.71,-1.73,-7.25,-11.35,-52.13,-48.51,-105.5,-25.26,-44.02,-34.22,-31.05,-8.99,-15.31,-21,-24.86,-23.42,-46.51,-50.06,-92.62,-67.7,-57.56,-67.96,-55.37
MEC.UPLS_1.AZ,Hub,MCC,0,0,0,0,2.23,11.15,2.08,-12.46,-0.73,-0.71,-2.12,-0.68,0,0,0,-1.6,-18.31,-6.18,-34.46,-50,-22.18,-18.09,-25.34,-22.54
MEC.UPLS_2.AZ,Hub,MCC,0,0,0,0,0,-16.17,-27.16,-61.06,-17.24,-42.32,-32.51,-28.68,-5.14,-12.11,-23.47,-19.48,-21.02,-31.64,-32.34,-68.62,-47.99,-41.24,-47.34,-45.45
MEC.VICTRM_1,Gennode,MCC,-0.15,-2.48,-2.51,-10.52,-14.91,-59.12,-54.27,-113.37,-28.29,-43.22,-35.86,-45.78,-33.14,-26.14,-18.8,-25.7,-24.63,-51.38,-54.32,-91.33,-67.61,-57.15,-69.87,-55.85
MEC.VIENNA1,Gennode,MCC,0,0,0,0,4.06,5.25,-21.7,-62.45,-19.11,-33.36,-26.16,-22.85,-7.64,-11.71,-16.67,-18.25,-22.71,-29.47,-35.17,-73.48,-50,-42.31,-47.16,-44.36
MEC.WALNUT_W1,Gennode,MCC,-0.13,-2.07,-2.11,-8.81,-12.65,-56.96,-56.24,-122.12,-29.07,-45.64,-34.13,-28.64,-6.01,-14.9,-20.37,-28.81,-24.17,-54.48,-55.39,-101.53,-76.7,-65.12,-77.15,-61.29
MEC.WEBSTR.MVP,Hub,MCC,-0.16,-2.62,-2.42,-10.85,-24.51,-103.67,-61.63,-116.58,-29.19,-44.95,-33.46,-32.2,-16.4,-19.42,-17.42,-23.67,-25.58,-42.61,-38.96,-87.23,-62.78,-53.24,-55.76,-51.06
MEC.WELLSBURG,Gennode,MCC,0,0,0,0,6.75,18,-20.93,-67.85,-19.77,-34.68,-26.94,-23.45,-7.75,-12.04,-17.17,-19.16,-22.94,-31.28,-35.51,-75.28,-55.78,-88.57,-86.63,-76.17
MEC.WSEC3,Gennode,MCC,-0.13,-2.12,-2.15,-9,-12.74,-58.18,-58.59,-132.95,-30.48,-47.01,-35.85,-31.6,-10.01,-16.94,-20.3,-30.18,-24.29,-56.93,-57.96,-110.97,-83.87,-71.28,-82.65,-64.37
MEC.WSEC4,Gennode,MCC,-0.13,-2.12,-2.15,-9,-12.74,-58.18,-58.59,-132.95,-30.48,-47.01,-35.85,-31.6,-10.01,-16.94,-20.3,-30.18,-24.29,-56.93,-57.96,-110.97,-83.87,-71.28,-82.65,-64.37
MGE.AZ,Hub,MCC,0.2,3.35,3.4,14.23,12.79,14.05,16.66,22.69,35.18,31.46,22.75,32.54,38.25,27.12,9.78,8.44,-7.72,7.63,-34.98,-52.69,-14.16,-2.94,-9.74,-15.46
MGE.BLTPLTG6,Gennode,MCC,0.21,3.38,3.43,14.35,12.9,14.17,16.81,22.91,35.76,31.99,23.11,33.03,38.87,27.54,9.93,8.58,-7.43,7.81,-34.82,-52.7,-14.09,-2.83,-9.61,-15.41
MGE.BLTPLTG7,Gennode,MCC,0.21,3.38,3.43,14.35,12.9,14.17,16.81,22.91,35.76,31.99,23.11,33.03,38.87,27.54,9.93,8.58,-7.43,7.81,-34.82,-52.7,-14.09,-2.83,-9.61,-15.41
MGE.CARDNL.MVP,Hub,MCC,0.21,3.39,3.44,14.39,12.94,14.21,16.85,23.06,37.34,33.42,24.05,34.22,40.53,28.61,10.19,8.78,-7.45,7.09,-34.73,-52.68,-15.02,-3.94,-9.52,-15.49
MGE.DANE_CTY,Gennode,MCC,0.21,3.41,3.46,14.45,12.99,14.27,16.92,23.13,36.81,32.96,23.78,33.88,39.98,28.3,10.2,8.81,-7.25,7.59,-34.66,-52.69,-14.48,-3.26,-9.43,-15.4
MGE.DRR.DG01,Gennode,MCC,0.2,3.36,3.4,14.24,12.82,14.14,16.69,22.69,35.17,31.44,22.72,32.52,38.23,27.1,9.77,8.43,-7.71,7.67,-34.98,-52.69,-14.13,-2.9,-9.76,-15.48
MGE.DRR.DG02,Gennode,MCC,0.2,3.36,3.4,14.24,12.82,14.14,16.69,22.69,35.17,31.44,22.72,32.52,38.23,27.1,9.77,8.43,-7.71,7.67,-34.98,-52.69,-14.13,-2.9,-9.76,-15.48
MGE.DRR.DG03,Gennode,MCC,0.2,3.36,3.4,14.24,12.82,14.14,16.69,22.69,35.17,31.44,22.72,32.52,38.23,27.1,9.77,8.43,-7.71,7.67,-34.98,-52.69,-14.13,-2.9,-9.76,-15.48
MGE.DRR.DG04,Gennode,MCC,0.2,3.36,3.4,14.24,12.82,14.14,16.69,22.69,35.17,31.44,22.72,32.52,38.23,27.1,9.77,8.43,-7.71,7.67,-34.98,-52.69,-14.13,-2.9,-9.76,-15.48
MGE.DRR.DG05,Gennode,MCC,0.2,3.36,3.4,14.24,12.82,14.14,16.69,22.69,35.17,31.44,22.72,32.52,38.23,27.1,9.77,8.43,-7.71,7.67,-34.98,-52.69,-14.13,-2.9,-9.76,-15.48
MGE.DRR.DG06,Gennode,MCC,0.2,3.36,3.4,14.24,12.82,14.14,16.69,22.69,35.17,31.44,22.72,32.52,38.23,27.1,9.77,8.43,-7.71,7.67,-34.98,-52.69,-14.13,-2.9,-9.76,-15.48
MGE.DRR.DG07,Gennode,MCC,0.2,3.36,3.4,14.24,12.82,14.14,16.69,22.69,35.17,31.44,22.72,32.52,38.23,27.1,9.77,8.43,-7.71,7.67,-34.98,-52.69,-14.13,-2.9,-9.76,-15.48
MGE.DRR.DG08,Gennode,MCC,0.2,3.36,3.4,14.24,12.82,14.14,16.69,22.69,35.17,31.44,22.72,32.52,38.23,27.1,9.77,8.43,-7.71,7.67,-34.98,-52.69,-14.13,-2.9,-9.76,-15.48
MGE.DRR.DG09,Gennode,MCC,0.2,3.36,3.4,14.24,12.82,14.14,16.69,22.69,35.17,31.44,22.72,32.52,38.23,27.1,9.77,8.43,-7.71,7.67,-34.98,-52.69,-14.13,-2.9,-9.76,-15.48
MGE.DRR.DG10,Gennode,MCC,0.2,3.36,3.4,14.24,12.82,14.14,16.69,22.69,35.17,31.44,22.72,32.52,38.23,27.1,9.77,8.43,-7.71,7.67,-34.98,-52.69,-14.13,-2.9,-9.76,-15.48
MGE.HERMSDORF,Gennode,MCC,0.2,3.27,3.32,13.89,12.49,13.71,16.23,22.11,33.86,30.29,21.96,31.44,36.84,26.17,9.52,8.2,-8.58,6.87,-35.39,-52.6,-14.63,-3.56,-10.01,-15.62
MGE.JOUCOLUM1,Gennode,MCC,0.22,3.56,3.61,15.1,13.58,14.92,17.66,24.42,38.4,34.62,25.25,35.65,41.78,29.85,11.32,9.91,-6.13,8.21,-33.86,-52.63,-14.25,-2.75,-8.35,-15.11
MGE.JOUCOLUM2,Gennode,MCC,0.22,3.56,3.61,15.1,13.58,14.92,17.66,24.42,38.4,34.62,25.25,35.65,41.78,29.85,11.32,9.91,-6.13,8.21,-33.86,-52.63,-14.25,-2.75,-8.35,-15.11
MGE.LRRGTOT,Gennode,MCC,0.27,4.48,4.54,18.99,17.11,18.83,21.64,30.24,21.17,18.62,14.91,23.61,23.3,17.82,7.34,6.41,-14.11,3.64,-37.18,-53.32,-20.13,-10.15,-11.99,-16.77
MGE.MGE,Loadzone,MCC,0.2,3.36,3.4,14.24,12.82,14.14,16.69,22.7,35.17,31.44,22.73,32.53,38.23,27.1,9.77,8.43,-7.7,7.67,-34.97,-52.69,-14.12,-2.9,-9.76,-15.48
MGE.MOREY,Gennode,MCC,0.21,3.41,3.46,14.46,12.99,14.28,16.94,23.07,35.78,32.01,23.14,33.09,38.9,27.58,9.98,8.63,-7.1,8.31,-34.68,-52.73,-13.63,-2.26,-9.52,-15.32
MGE.OBRIEN_N,Gennode,MCC,0.2,3.32,3.37,14.08,12.65,13.9,16.47,22.39,34.43,30.76,22.24,31.89,37.43,26.54,9.55,8.23,-8.11,7.41,-35.19,-52.68,-14.24,-3.07,-9.95,-15.53
MGE.OBRIEN_S,Gennode,MCC,0.2,3.32,3.37,14.08,12.65,13.9,16.47,22.39,34.43,30.76,22.24,31.89,37.43,26.54,9.55,8.23,-8.11,7.41,-35.19,-52.68,-14.24,-3.07,-9.95,-15.53
MGE.OBRIEN_W,Gennode,MCC,0.2,3.26,3.31,13.84,12.44,13.66,16.18,21.94,33.26,29.69,21.5,30.9,36.19,25.68,9.27,7.97,-8.64,7.12,-35.48,-52.64,-14.3,-3.2,-10.2,-15.62
MGE.WCCF,Gennode,MCC,0.21,3.38,3.43,14.34,12.89,14.16,16.8,22.88,35.66,31.89,23.03,32.94,38.75,27.46,9.89,8.54,-7.46,7.83,-34.84,-52.71,-14.06,-2.79,-9.64,-15.41
MGE.WMARIN034,Gennode,MCC,0.29,4.82,4.89,20.45,18.43,20.29,23.28,32.56,20.98,18.37,14.86,23.93,23.09,17.8,7.33,6.44,-13.79,4.23,-36.43,-53.53,-20.34,-10.44,-12.08,-16.69
MHEB,Interface,MCC,-0.4,-7.44,-7.85,-32.61,-29.45,-46.67,-57.89,-109.44,-34.68,-36.32,-28.61,-35.13,-20.54,-10.2,12.68,-1.26,-12.68,23.3,38.51,-53.69,-44.66,-39.98,-12.56,-33.87
MHEB_EAR,Gennode,MCC,-0.48,-7.84,-8.25,-33.66,-30.41,-47.59,-58.43,-110.22,-36.73,-37.65,-33.72,-41.42,-27.3,-13.64,8.54,-2.44,-13.82,21.11,32.62,-55.06,-45.32,-40.45,-15.91,-34.6
MICHIGAN.HUB,Hub,MCC,0,0,0,0,0,0,0,0.81,4.19,11.73,12.2,11.42,3.83,4.11,7.75,1.86,23.89,4.92,35.18,38,17.44,8.95,16.48,20.77
MINN.HUB,Hub,MCC,-0.57,-9.49,-9.9,-40.7,-36.79,-54.94,-66.17,-120.92,-41.84,-41.54,-38.48,-48.51,-32.73,-29.87,-16.32,-20.75,-31.21,3.25,-4.45,-69.64,-50.1,-43.82,-33.7,-41.48
MIUP.BRULEGHYD,Gennode,MCC,0.32,5.27,5.35,22.39,20.18,22.23,25.44,35.75,20.53,17.81,14.62,24.15,22.56,17.55,7.14,6.28,-13.74,4.43,-36.09,-53.77,-20.64,-10.86,-12.32,-16.67
MIUP.CHALKHILL,Gennode,MCC,0.3,4.93,5,20.91,18.84,20.75,23.79,33.3,20.87,18.23,14.79,23.98,22.96,17.74,7.28,6.4,-13.76,4.3,-36.33,-53.59,-20.42,-10.55,-12.14,-16.68
MIUP.CLOV,Loadzone,MCC,0.3,4.99,5.07,21.19,19.1,21.03,24.11,33.74,20.79,18.14,14.75,24,22.87,17.69,7.26,6.39,-13.74,4.35,-36.25,-53.64,-20.47,-10.62,-12.18,-16.67
MIUP.CLVHDRTN1,Gennode,MCC,0.3,4.99,5.07,21.19,19.1,21.03,24.11,33.74,20.79,18.14,14.75,24,22.87,17.69,7.26,6.39,-13.74,4.35,-36.25,-53.64,-20.47,-10.62,-12.18,-16.67
MIUP.DETRDBN1,Gennode,MCC,0.3,4.99,5.07,21.19,19.1,21.03,24.11,33.74,20.79,18.14,14.75,24,22.87,17.69,7.26,6.39,-13.74,4.35,-36.25,-53.64,-20.47,-10.62,-12.18,-16.67
MIUP.DFTR13N1,Gennode,MCC,0.3,4.99,5.07,21.19,19.1,21.03,24.11,33.74,20.79,18.14,14.75,24,22.87,17.69,7.26,6.39,-13.74,4.35,-36.25,-53.64,-20.47,-10.62,-12.18,-16.67
MIUP.FAIRBNKS1,Gennode,MCC,0.3,4.99,5.07,21.19,19.1,21.03,24.11,33.74,20.79,18.14,14.75,24,22.87,17.69,7.26,6.39,-13.74,4.35,-36.25,-53.64,-20.47,-10.62,-12.18,-16.67
MIUP.GARSPV1,Loadzone,MCC,0.3,4.99,5.07,21.19,19.1,21.03,24.11,33.74,20.79,18.14,14.75,24,22.87,17.69,7.26,6.39,-13.74,4.35,-36.25,-53.64,-20.47,-10.62,-12.18,-16.67
MIUP.GARSPV2,Loadzone,MCC,0.3,4.99,5.07,21.19,19.1,21.03,24.11,33.74,20.79,18.14,14.75,24,22.87,17.69,7.26,6.39,-13.74,4.35,-36.25,-53.64,-20.47,-10.62,-12.18,-16.67
MIUP.GARWND1,Gennode,MCC,0.3,4.99,5.07,21.19,19.1,21.03,24.11,33.74,20.79,18.14,14.75,24,22.87,17.69,7.26,6.39,-13.74,4.35,-36.25,-53.64,-20.47,-10.62,-12.18,-16.67
MIUP.GARWND2,Gennode,MCC,0.3,4.99,5.07,21.19,19.1,21.03,24.11,33.74,20.79,18.14,14.75,24,22.87,17.69,7.26,6.39,-13.74,4.35,-36.25,-53.64,-20.47,-10.62,-12.18,-16.67
MIUP.KUESTER11,Gennode,MCC,0.3,5.01,5.08,21.27,19.17,21.11,24.2,33.87,20.77,18.12,14.74,24.01,22.84,17.68,7.25,6.38,-13.73,4.36,-36.23,-53.65,-20.48,-10.64,-12.19,-16.67
MIUP.KUESTER12,Gennode,MCC,0.3,5.01,5.08,21.27,19.17,21.11,24.2,33.87,20.77,18.12,14.74,24.01,22.84,17.68,7.25,6.38,-13.73,4.36,-36.23,-53.65,-20.48,-10.64,-12.19,-16.67
MIUP.KUESTER13,Gennode,MCC,0.3,5.01,5.08,21.27,19.17,21.11,24.2,33.87,20.77,18.12,14.74,24.01,22.84,17.68,7.25,6.38,-13.73,4.36,-36.23,-53.65,-20.48,-10.64,-12.19,-16.67
MIUP.KUESTER14,Gennode,MCC,0.3,5.01,5.08,21.27,19.17,21.11,24.2,33.87,20.77,18.12,14.74,24.01,22.84,17.68,7.25,6.38,-13.73,4.36,-36.23,-53.65,-20.48,-10.64,-12.19,-16.67
MIUP.KUESTER25,Gennode,MCC,0.3,5.01,5.08,21.27,19.17,21.11,24.2,33.87,20.77,18.12,14.74,24.01,22.84,17.68,7.25,6.38,-13.73,4.36,-36.23,-53.65,-20.48,-10.64,-12.19,-16.67
MIUP.KUESTER26,Gennode,MCC,0.3,5.01,5.08,21.27,19.17,21.11,24.2,33.87,20.77,18.12,14.74,24.01,22.84,17.68,7.25,6.38,-13.73,4.36,-36.23,-53.65,-20.48,-10.64,-12.19,-16.67
